| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| ------------ | ------------------------ | ---------------- | ----------------------------- | ------------------------ | ----------- | ----------- | ------------------------------- | ------------------------ | ----------------- | ------------- |
| public       | active_group_bans        | 1                | ban_id                        | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 2                | group_id                      | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 3                | user_id                       | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 4                | banned_by                     | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 5                | reason                        | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 6                | expires_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 7                | created_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | active_group_bans        | 8                | is_active                     | boolean                  | bool        | YES         | null                            | null                     | null              | null          |
| public       | anonymous_identities     | 1                | identity_id                   | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | anonymous_identities     | 2                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | anonymous_identities     | 3                | target_user_id                | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | anonymous_identities     | 4                | conversation_id               | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | anonymous_identities     | 5                | group_id                      | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | anonymous_identities     | 6                | random_string                 | character varying        | varchar     | NO          | null                            | 50                       | null              | null          |
| public       | anonymous_identities     | 7                | display_gender                | character varying        | varchar     | NO          | null                            | 10                       | null              | null          |
| public       | anonymous_identities     | 8                | is_active                     | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | anonymous_identities     | 9                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | anonymous_identities     | 10               | last_used_at                  | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
